anomaly_rank,anomaly_score_umap,cluster_umap,cluster_73d,hotel,lead_time,total_nights,party_size,previous_cancellations,previous_bookings_not_canceled,adr,market_segment,deposit_type,customer_type,is_canceled,reservation_status,anomaly_type
1,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,Canceled,rare booking pattern
2,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,No-Show,rare booking pattern
3,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
4,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,Canceled,rare booking pattern
5,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,No-Show,rare booking pattern
6,6.867,1,4,City Hotel,134,1,1.0,0,0,0.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
7,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,No-Show,rare booking pattern
8,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
9,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,No-Show,rare booking pattern
10,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
11,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
12,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
13,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
14,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
15,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,Canceled,rare booking pattern
16,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,No-Show,rare booking pattern
17,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,No-Show,rare booking pattern
18,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,0,Check-Out,rare booking pattern
19,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,Canceled,rare booking pattern
20,6.867,1,4,City Hotel,134,1,1.0,0,0,75.0,Groups,No Deposit,Transient-Party,1,Canceled,rare booking pattern
